cds_code,pdf,json
01611766104723,DNE,E
01611766106983,DNE,E
01611766111330,DNE,E
01611766113872,DNE,DNE
01611766118897,DNE,DNE
01611920000000,DNE,DNE
01611920108670,DNE,E
01611920111815,DNE,E
01611920113902,DNE,DNE
01611920119248,DNE,DNE
01611920119842,DNE,DNE
01611920127696,DNE,E
01611920127944,E,E
01611920130443,DNE,DNE
01611920131334,DNE,DNE
01611920133009,DNE,E
01611920133520,DNE,DNE
01611920133629,DNE,E
01611920135228,DNE,DNE
01611920135319,DNE,E
01611920137646,E,E
01611920138206,DNE,DNE
01611920138339,DNE,E
01611920147132,DNE,DNE
01611920147140,DNE,DNE
01611920147157,DNE,DNE
01611920147165,DNE,DNE
01611920147173,DNE,DNE
01611920147181,DNE,DNE
01611920147199,DNE,DNE
01611920147207,DNE,DNE
01611920147215,DNE,DNE
01611920147223,DNE,DNE
01611926000863,DNE,DNE
01611926000871,DNE,DNE
01611926000889,DNE,DNE
01611926000905,DNE,E
01611926000913,DNE,E
01611926000921,DNE,E
01611926000947,DNE,E
01611926000954,DNE,DNE
01611926000962,DNE,E
01611926000970,DNE,DNE
01611926000988,DNE,E
01611926000996,DNE,E
01611926001002,DNE,DNE
01611926001010,DNE,DNE
01611926001028,DNE,DNE
01611926001036,DNE,DNE
01611926001044,DNE,E
01611926001051,DNE,E
01611926001069,DNE,DNE
01611926001077,DNE,DNE
01611926001085,DNE,DNE
01611926001093,DNE,E
01611926001101,DNE,E
01611926001119,DNE,DNE
01611926001127,DNE,E
01611926001135,DNE,E
01611926001143,DNE,DNE
01611926001150,DNE,DNE
01611926001168,DNE,DNE
01611926001176,DNE,E
01611926001184,DNE,DNE
01611926001192,DNE,E
01611926001200,DNE,DNE
01611926056931,DNE,E
01611926056949,DNE,E
01611926056956,DNE,E
01611926056964,DNE,DNE
01611926056972,DNE,E
01611926062160,DNE,DNE
01611926066476,DNE,E
01611926068738,DNE,DNE
01611926089528,DNE,DNE
01611926089536,DNE,DNE
01611926090567,DNE,DNE
01611926090575,DNE,DNE
01611926090583,DNE,E
01611926095863,DNE,DNE
01611926103998,DNE,DNE
01611926104566,DNE,E
01611926113815,DNE,E
01612000000000,DNE,DNE
01612000107839,DNE,DNE
01612000120931,DNE,DNE
01612000123554,DNE,DNE
01612000130393,DNE,E
01612000130492,DNE,DNE
01612000132670,DNE,E
01612000133397,DNE,E
01612000134536,DNE,E
01612000135376,DNE,E
01612000138826,DNE,DNE
01612000147231,DNE,DNE
01612000147249,DNE,DNE
01612000164624,DNE,DNE
01612006001218,DNE,DNE
01612006001226,DNE,DNE
01612006001234,DNE,E
01612006001242,DNE,E
01612006001259,DNE,E
01612006001267,DNE,DNE
01612006001275,DNE,DNE
01612006001283,DNE,E
01612006001291,DNE,E
01612006001309,DNE,DNE
01612006001317,DNE,E
01612006001325,DNE,DNE
01612006001333,DNE,DNE
01612006001341,DNE,E
01612006071666,DNE,DNE
01612006071674,DNE,DNE
01612006071906,DNE,E
01612006085773,DNE,E
01612006089338,DNE,E
01612006097661,DNE,E
01612006110332,DNE,E
01612006117543,DNE,E
01612180000000,DNE,DNE
01612186001358,DNE,E
01612260000000,DNE,DNE
01612266001366,DNE,DNE
01612266001374,DNE,DNE
01612266001382,DNE,DNE
01612266001390,DNE,DNE
01612266001408,DNE,DNE
01612266001416,DNE,DNE
01612266001424,DNE,DNE
01612266001432,DNE,DNE
01612266066484,DNE,DNE
01612340000000,DNE,DNE
