file,year,max_sqft
27102722730265.json,1965,
30664640111914.json,1965,
36750776035240.json,1965,
19643036011605.json,1965,
19647330128041.json,1965,
36679186117766.json,1965,
19647256057830.json,1965,
19646676014724.json,1965,
39685776041990.json,1965,
41690396044994.json,1965,
37681146038277.json,1965,
19650526022933.json,1965,
37681636105845.json,1965,
01612006001259.json,1965,
21654336024673.json,1965,
19647330117978.json,1965,
19734526022305.json,1965,
37683956098487.json,1965,
34765053430881.json,1965,
19647336060545.json,1965,
34674476111363.json,1965,
30666216029763.json,1965,
19647330119966.json,1965,
36676786106611.json,1965,
07616480113761.json,1965,
37680986105944.json,1965,
30739243033917.json,1965,
34673480141325.json,1965,
07618040113118.json,1965,
10621666117477.json,1965,
19647336015853.json,1965,
54722566054563.json,1965,
27660922732253.json,1965,
51714646053342.json,1965,
34673140111112.json,1965,
19650606023162.json,1965,
54755236054282.json,1965,
30103060133959.json,1965,
01611766000681.json,1965,
19734456014278.json,1965,
30736506071179.json,1965,
44698496111421.json,1965,
12629846008106.json,1965,
07617546004345.json,1965,
36676523630845.json,1965,
43694270125617.json,1965,
50710430109082.json,1965,
19647336016992.json,1965,
36750696037212.json,1965,
19647330126474.json,1965,
19644446012678.json,1965,
24658626111991.json,1965,
19648576021208.json,1965,
37684520128223.json,1965,
38684783830387.json,1965,
36679186110522.json,1965,
50710430107136.json,1965,
41690706045132.json,1965,
37683386039606.json,1965,
19647336016091.json,1965,
39685936042329.json,1965,
19647330141549.json,1965,
10739656120521.json,1965,
32669693230034.json,1965,
20652430107938.json,1965,
34674396033807.json,1965,
21653346068308.json,1965,
27102720116491.json,1965,
07616556003644.json,1965,
19647330109272.json,1965,
34674476034508.json,1965,
51713995135256.json,1965,
19651026071690.json,1965,
10624301030758.json,1965,
36677360136069.json,1965,
19734606023386.json,1965,
56768285635776.json,1965,
19647331938968.json,1965,
27659872730018.json,1965,
58727366056733.json,1965,
10622650126292.json,1965,
39685856042139.json,1965,
42692036045512.json,1965,
15637506111686.json,1965,
19645766013924.json,1965,
19647336019558.json,1965,
01612916002422.json,1965,
19647256015507.json,1965,
19647330117846.json,1965,
10621666088934.json,1965,
19734456014203.json,1965,
43696740140475.json,1965,
33671243330958.json,1965,
30664646108740.json,1965,
36676116035414.json,1965,
40687006042956.json,1965,
13631236008478.json,1965,
43696416048243.json,1965,
37681970132431.json,1965,
19647330117903.json,1965,
30664313033784.json,1965,
16639746010532.json,1965,
19647331931476.json,1965,
51713996053284.json,1965,
56725530110502.json,1965,
37683616085153.json,1965,
36678766037154.json,1965,
10624146007124.json,1965,
30666473030483.json,1965,
50105045030085.json,1965,
37684520100925.json,1965,
30666213038098.json,1965,
37680236037972.json,1965,
01611436097729.json,1965,
43696666093074.json,1965,
36678503630159.json,1965,
19644360140525.json,1965,
01750930138453.json,1965,
33751920113696.json,1965,
19649071995547.json,1965,
19646676014708.json,1965,
09737836005490.json,1965,
33751920105742.json,1965,
48705736110241.json,1965,
41690396044812.json,1965,
15638266057426.json,1965,
01750936066484.json,1965,
43695836095392.json,1965,
30666473031945.json,1965,
19734456066757.json,1965,
33751760139790.json,1965,
35674700121400.json,1965,
19647331931708.json,1965,
19647336017792.json,1965,
57727106056469.json,1965,
53717616053813.json,1965,
36676786059372.json,1965,
30666216029870.json,1965,
16639251630151.json,1965,
19647330126136.json,1965,
16639900116699.json,1965,
30664496027452.json,1965,
34674390101972.json,1965,
51714646053417.json,1965,
49709534930152.json,1965,
51713576053235.json,1965,
49738820128348.json,1965,
50757396053169.json,1965,
37683386112726.json,1965,
33752006032346.json,1965,
33670826032114.json,1965,
54722566107536.json,1965,
34673146109516.json,1965,
34765056102784.json,1965,
19648406020952.json,1965,
38684786041602.json,1965,
33751920101097.json,1965,
13631806008593.json,1965,
19647330124222.json,1965,
19647336058150.json,1965,
37683386059695.json,1965,
56725536096838.json,1965,
34674396034045.json,1965,
19647336017511.json,1965,
29663406097315.json,1965,
50712660124768.json,1965,
52716216106686.json,1965,
19647336060586.json,1965,
30666476030050.json,1965,
33670820102772.json,1965,
19647330124388.json,1965,
43696906049217.json,1965,
30736506102719.json,1965,
30103063030632.json,1965,
01611926001101.json,1965,
37737910105726.json,1965,
37684113731064.json,1965,
50711346119002.json,1965,
12630406008197.json,1965,
41689990136093.json,1965,
37679916037634.json,1965,
19647336017842.json,1965,
34765053436979.json,1965,
37683040131250.json,1965,
01612596001630.json,1958,
36676523632205.json,1965,
33752003330529.json,1965,
19649986022651.json,1965,
57726940140715.json,1965,
36677776113070.json,1965,
01611926001044.json,1965,
36679596037410.json,1965,
10621666006597.json,1965,
37684376040562.json,1965,
30665896029193.json,1965,
49709126066385.json,1965,
19649076120653.json,1965,
10624146007173.json,1965,
04614996003198.json,1962,
19647330123158.json,1965,
25658966025902.json,1965,
54755236054241.json,1965,
33670906106835.json,1965,
49709956110324.json,1965,
30736356066872.json,1965,
04614240141085.json,1965,
50711670137265.json,1965,
19647330140749.json,1965,
36750696037253.json,1965,
43695836095384.json,1965,
19647336110266.json,1965,
33672070137620.json,1965,
31668456031140.json,1965,
19647336066278.json,1965,
41690396044804.json,1965,
34673306059190.json,1965,
37737910138222.json,1965,
41689326044051.json,1965,
20764142030039.json,1965,
43693776111348.json,1965,
19647330118588.json,1965,
15637761534957.json,1965,
19648656021273.json,1965,
15633396009229.json,1965,
55751845530084.json,1965,
31669283130176.json,1965,
10621666006217.json,1965,
30664493030640.json,1965,
33671730123703.json,1965,
54722566054670.json,1965,
19101990121822.json,1965,
13631490125922.json,1965,
34674396071336.json,1965,
49707064930053.json,1965,
07616630139667.json,1965,
12626790137653.json,1965,
34673140116897.json,1965,
19647336017784.json,1965,
23656156025217.json,1965,
19649316022206.json,1965,
39686766115422.json,1965,
19647330115139.json,1965,
19645761933597.json,1965,
33752423330552.json,1965,
19647176015069.json,1965,
19647330131466.json,1965,
54722566092795.json,1965,
43694846047310.json,1965,
55723976054928.json,1965,
19646670119313.json,1965,
01612916002463.json,1965,
19647336018758.json,1965,
30664643030574.json,1965,
37683386040158.json,1965,
19649801938000.json,1965,
37683386039978.json,1965,
43695186047435.json,1965,
43693690114900.json,1965,
38684786115901.json,1965,
42767860123885.json,1965,
30664316085260.json,1965,
36677106061865.json,1965,
24657892435204.json,1965,
19650456107205.json,1965,
43694846106991.json,1965,
19768696023808.json,1965,
49706986051726.json,1965,
10624146007165.json,1965,
34765053433794.json,1965,
30665896029185.json,1965,
30664646027635.json,1965,
35752593530060.json,1965,
34674476097810.json,1965,
07617960135434.json,1965,
01611920108670.json,1965,
37680236037899.json,1965,
13632140120881.json,1965,
01612596057046.json,1965,
34674476034375.json,1965,
30736500141119.json,1965,
30736356030183.json,1965,
37683796089007.json,1965,
01611760130435.json,1965,
41690396044853.json,1965,
19651360102467.json,1965,
37681303731692.json,1965,
49706150113506.json,1965,
24753176112940.json,1965,
19645686013619.json,1965,
43696416048193.json,1965,
37683383730231.json,1965,
36750696037204.json,1965,
58727360142109.json,1965,
34673143430618.json,1965,
19647336016984.json,1965,
33671736032403.json,1965,
33751766032064.json,1965,
36678766036883.json,1965,
33736760100263.json,1965,
19753336020408.json,1965,
50711676052674.json,1965,
34674473430758.json,1965,
34674390101899.json,1965,
15634610106690.json,1965,
27660682730083.json,1965,
37681630128421.json,1965,
30665636029037.json,1965,
19647330126177.json,1965,
04100410114991.json,1965,
54722316114656.json,1965,
33671160140574.json,1965,
39686766042766.json,1965,
19647330109264.json,1965,
33670826032155.json,1965,
37680076037758.json,1965,
19647330122564.json,1965,
33671736032395.json,1965,
42693284230074.json,1965,
43693936046627.json,1965,
37683386114060.json,1965,
49709040125336.json,1965,
36677100102509.json,1965,
30665226028302.json,1965,
19647336015994.json,1965,
30664640113381.json,1965,
11101160124909.json,1965,
45700116050348.json,1965,
58727366056725.json,1965,
19646831930080.json,1965,
37679916037675.json,1965,
41689166043855.json,1965,
19647336016711.json,1965,
19647330135921.json,1965,
19101991933399.json,1965,
33672496106884.json,1965,
09619030140459.json,1965,
54722316105381.json,1965,
36676523633906.json,1965,
37680236037964.json,1965,
19647330122358.json,1965,
19647256061345.json,1965,
56738745630199.json,1965,
37684520100933.json,1965,
23752182330207.json,1965,
10624146007132.json,1965,
15635946102792.json,1965,
12753826008049.json,1965,
37754160132472.json,1965,
19647250132324.json,1965,
19647330138305.json,1965,
39685936114847.json,1965,
19651026111520.json,1965,
19648401934728.json,1965,
19734376057566.json,1965,
01612006001234.json,1965,
19647330125864.json,1965,
19647331931047.json,1965,
19642461995968.json,1965,
19647336017032.json,1965,
01100170112607.json,1965,
35675206035109.json,1965,
16739321630953.json,1965,
30736506115455.json,1965,
