cds_code,year_built,max_sqft
07616550127464,1965,
07616556003644,1965,
07616556003651,1965,
07616556070981,1965,
07616556109730,1965,
07616556112718,1965,
07616556117410,1965,
07616556119754,1965,
07616630130930,1965,
07616630139667,1965,
07616636003669,1965,
07616636101943,1965,
07616636119838,1965,
07616970737023,1965,
07616970737619,1965,
07616976003685,1965,
07616976003701,1965,
07617136003727,1965,
07617136003743,1965,
07617136003750,1965,
07617136003768,1965,
07617136003792,1965,
07617210107797,1965,
07617210730457,1965,
07617210730572,1965,
07617210733980,1965,
07617210733998,1965,
07617390730440,1965,
07617390730473,1965,
07617390730549,1965,
07617396003826,1965,
07617396003834,1965,
07617396003842,1965,
07617396003875,1965,
07617396057186,1965,
07617476003909,1965,
07617476003917,1965,
07617476003925,1965,
07617476003933,1965,
07617540106088,1965,
07617540134072,1965,
07617540135822,1965,
07617540138115,1965,
07617540140442,1965,
07617540730044,1965,
07617540730317,1965,
07617540730358,1965,
07617540730655,1965,
07617540731646,1965,
07617540731836,1965,
07617540734566,1965,
07617540734764,1965,
07617540737809,1965,
07617546003958,1965,
07617546003966,1965,
07617546003974,1965,
07617546003982,1965,
07617546004030,1965,
07617546004048,1965,
07617546004055,1965,
07617546004063,1965,
07617546004097,1965,
07617546004105,1965,
07617546004154,1965,
07617546004162,1965,
07617546004170,1965,
07617546004188,1965,
07617546004196,1965,
07617546004220,1965,
07617546004238,1965,
07617546004246,1965,
07617546004253,1965,
07617546004261,1965,
07617546004295,1965,
07617546004303,1965,
07617546004311,1965,
07617546004329,1965,
07617546004337,1965,
07617546004345,1965,
07617546004352,1965,
07617546004360,1965,
07617546004378,1965,
07617546004394,1965,
07617546004402,1965,
07617546004410,1965,
07617546096226,1965,
07617546105357,1965,
07617546111504,1965,
07617546112395,1965,
07617546114904,1965,
07617546118087,1965,
07617620110684,1965,
07617620129064,1965,
07617620138859,1965,
07617626004428,1965,
07617626096234,1965,
07617626108765,1965,
07617626110803,1965,
07617626110811,1965,
07617626119226,1965,
07617706004444,1965,
07617706004451,1965,
07617706004477,1965,
07617706004501,1965,
07617706066583,1965,
07617880116863,1965,
07617880125435,1965,
07617880730184,1965,
07617880735407,1965,
07617886004527,1965,
07617886004535,1965,
07617886004543,1965,
07617886004568,1965,
07617886004576,1965,
07617886061162,1965,
07617886084966,1965,
07617886098578,1965,
07617886109383,1965,
07617960101477,1965,
07617960110973,1965,
07617960126805,1965,
07617960129643,1965,
07617960132100,1965,
07617960132118,1965,
07617960133637,1965,
07617960135434,1965,
07617960136903,1965,
07617960730291,1965,
07617960730325,1965,
07617960730598,1965,
07617960732164,1965,
07617960732941,1965,
07617960733253,1965,
07617960733659,1965,
07617960735316,1965,
07617960735902,1965,
07617966004600,1965,
07617966004659,1965,
07617966004667,1965,
07617966004691,1965,
07617966004733,1965,
07617966004741,1965,
07617966004758,1965,
07617966004766,1965,
07617966004774,1965,
07617966004782,1965,
07617966004808,1965,
07617966004824,1965,
07617966004832,1965,
07617966004840,1965,
07617966004857,1965,
07617966004865,1965,
07617966004873,1965,
07617966004881,1965,
07617966004899,1965,
07617966004907,1965,
07617966004915,1965,
07617966004931,1965,
07617966004956,1965,
07617966004964,1965,
07617966004972,1965,
07617966004980,1965,
07617966004998,1965,
07617966005003,1965,
07617966005011,1965,
07617966005037,1965,
07617966005045,1965,
07617966057210,1965,
07617966057228,1965,
07617966057236,1965,
07617966057244,1965,
07617966061170,1965,
07617966097141,1965,
07617966099717,1965,
07617966112015,1965,
07617966114086,1965,
07617966114094,1965,
07617966119515,1965,
07617966120885,1965,
07618040102566,1965,
07618040108324,1965,
07618040109173,1965,
07618040113118,1965,
07618040113589,1965,
07618040116541,1965,
07618040119032,1965,
07618040132902,1965,
07618040730051,1965,
07618040730218,1965,
07618040734368,1965,
07618040736504,1965,
07618040736819,1965,
07618046005060,1965,
07618046005078,1965,
07618046005086,1965,
07618046005094,1965,
07618046005102,1965,
07618046005110,1965,
07618046005128,1965,
07618046005136,1965,
07618046005144,1965,
07618046005151,1965,
07618046066591,1965,
07618046071039,1965,
07618046089130,1965,
07618046096036,1965,
07618046097158,1965,
07618046097166,1965,
07618046100952,1965,
07618046108161,1965,
07618046110449,1965,
07618046113336,1965,
07618046114326,1965,
07618046117451,1965,
07618046117485,1965,
07618120131714,1965,
07618126005169,1965,
07618126005177,1965,
07618126005185,1965,
07618126005193,1965,
07618126005235,1965,
07618126005243,1965,
07773540132233,1965,
08100820830042,1965,
08100820830059,1965,
08618200137729,1965,
08618200833004,1965,
08618200836205,1965,
08618206005375,1965,
08618206005383,1965,
08618206005391,1965,
08618206005417,1965,
08618206005425,1965,
08618206005433,1965,
08618206005441,1965,
08618206005458,1965,
08618206113013,1965,
09100900106047,1965,
09100900123521,1965,
09100900136036,1965,
09100900930123,1965,
09100900930131,1965,
09100906069470,1965,
09618380100024,1965,
09618380107227,1965,
09618380111724,1965,
09618380129965,1965,
09618380136200,1965,
09618380137919,1965,
09618380139006,1965,
09618386005466,1965,
09618386005474,1965,
09618386096614,1965,
09618386107361,1965,
09618386110456,1965,
09618386112361,1965,
09618460123125,1965,
09618466005482,1965,
09618530930081,1965,
09618530930164,1965,
09618530930214,1965,
09618530932756,1965,
09618530934554,1965,
09618530936302,1965,
09618796005508,1965,
09618796109698,1965,
09618956005524,1965,
09619030110155,1965,
09619030140459,1965,
09619030930040,1965,
09619030937805,1965,
09619036005540,1965,
09619036005565,1965,
09619036005573,1965,
09619036095301,1965,
09619116005581,1965,
09619116103857,1965,
09619296005599,1965,
09619296005615,1965,
09619296106678,1965,
09619456005631,1965,
09619456112569,1965,
09619456114664,1965,
09619606005680,1965,
09619606107437,1965,
09619780101519,1965,
09619780108258,1965,
09619786005706,1965,
09619786005714,1958,
09619786098693,1965,
09619786103527,1965,
09619786109441,1965,
09619866005722,1965,
09737830121566,1965,
09737830930073,1965,
09737830930099,1965,
09737836005490,1965,
09737836005623,1965,
09737836110498,1965,
10101080109991,1965,
10101080111682,1965,
10101080119628,1965,
10101080136291,1965,
10101080140186,1965,
10101081030337,1965,
10101081030899,1965,
10101086069488,1965,
10101086085112,1965,
10619946005730,1965,
10621096005839,1965,
10621580120246,1965,
10621581031954,1965,
10621581032150,1965,
10621586006027,1965,
10621586006043,1965,
10621586006050,1965,
10621586115190,1965,
10621660106740,1965,
10621660108100,1965,
10621660108118,1965,
10621660108555,1965,
10621660113811,1965,
10621660113829,1965,
10621660114355,1965,
10621660114553,1965,
10621660119339,1965,
10621660120964,1965,
10621660121533,1965,
10621660129338,1965,
10621660132134,1965,
10621660133942,1965,
10621660136150,1965,
10621660140038,1965,
10621660140764,1965,
10621660140806,1965,
10621660141127,1965,
10621661030279,1965,
10621661030287,1965,
10621661030295,1965,
10621661030584,1965,
10621661030642,1965,
10621661030675,1965,
10621661030717,1965,
10621661030840,1965,
10621661031632,1965,
10621661031897,1965,
10621661032507,1965,
10621661032911,1965,
10621661034214,1965,
10621661035831,1965,
10621666006068,1965,
10621666006076,1965,
10621666006084,1965,
10621666006092,1965,
10621666006100,1965,
10621666006118,1965,
10621666006126,1965,
10621666006142,1965,
10621666006159,1965,
10621666006183,1965,
10621666006191,1965,
10621666006217,1965,
10621666006225,1965,
10621666006233,1965,
10621666006258,1965,
10621666006266,1965,
10621666006274,1965,
10621666006282,1965,
10621666006290,1965,
10621666006308,1965,
10621666006316,1965,
10621666006324,1965,
10621666006332,1965,
10621666006357,1965,
10621666006365,1965,
10621666006373,1965,
10621666006381,1965,
10621666006407,1965,
10621666006415,1965,
10621666006423,1965,
10621666006431,1965,
10621666006449,1965,
10621666006456,1965,
10621666006464,1965,
10621666006472,1965,
10621666006480,1965,
10621666006514,1965,
10621666006522,1965,
10621666006530,1965,
10621666006548,1965,
10621666006555,1965,
10621666006563,1965,
10621666006571,1965,
10621666006589,1965,
10621666006597,1965,
10621666057285,1965,
10621666057293,1965,
10621666057327,1965,
10621666057335,1965,
10621666057343,1965,
10621666061188,1965,
10621666061196,1965,
10621666061204,1965,
10621666068704,1965,
10621666085120,1965,
10621666085138,1965,
10621666088538,1965,
10621666088546,1965,
10621666088934,1965,
10621666088942,1965,
10621666101091,1965,
10621666101109,1965,
10621666102016,1965,
10621666103832,1965,
10621666103840,1965,
10621666105746,1965,
10621666109961,1965,
10621666111231,1965,
10621666111249,1965,
10621666111256,1965,
10621666112619,1965,
10621666112882,1965,
10621666116651,1965,
10621666117477,1965,
10621666120125,1965,
10621666120703,1965,
10622400113142,1965,
10622400114587,1965,
10622406006704,1965,
10622406006712,1965,
10622406006720,1965,
10622406108328,1965,
10622406114805,1965,
10622570124727,1965,
10622571033695,1965,
10622571033729,1965,
10622650105692,1965,
10622650106815,1965,
10622650108092,1965,
10622650116640,1965,
10622650116657,1965,
10622650126292,1965,
10622651030378,1965,
10622651033703,1965,
10622651035310,1965,
10622656006738,1965,
10622656006746,1965,
10622656006753,1965,
10622656006761,1965,
10622656006787,1965,
10622656006795,1965,
10622656006803,1965,
10622656006829,1965,
10622656006837,1965,
10622656006845,1965,
10622656006878,1965,
10622656088959,1965,
10623310137661,1965,
10623316007009,1965,
10623566007025,1965,
10623640107409,1965,
10623640126870,1965,
10623641034990,1965,
10623646007033,1965,
10623646007041,1965,
10623646007058,1965,
10623646115224,1965,
10623800136499,1965,
10623806007074,1965,
10624140113043,1965,
10624140123463,1965,
10624140141291,1965,
10624141030451,1965,
10624141030824,1965,
10624141036086,1965,
10624141036094,1965,
10624146007108,1965,
10624146007116,1965,
10624146007124,1965,
10624146007132,1965,
10624146007140,1965,
10624146007157,1965,
10624146007165,1965,
10624146007173,1965,
10624146007181,1965,
10624146007207,1965,
10624146007215,1965,
10624301030758,1965,
10624301036607,1965,
10624301036672,1965,
10624306007231,1965,
10624306007256,1965,
10624306007280,1965,
10624306007298,1965,
10624306007314,1965,
10624306007322,1965,
10624306007348,1965,
10624306111124,1965,
10625136007405,1965,
10625396007413,1965,
10625396112387,1965,
10625470135103,1965,
10625470136523,1965,
10738090123950,1965,
10738091030121,1965,
10738091030147,1965,
10738096005995,1965,
10738096006001,1965,
10738096006019,1965,
10739650106476,1965,
10739650113993,1965,
10739650114751,1965,
10739650123943,1965,
10739650125682,1965,
10739650130690,1965,
10739650140269,1965,
10739650140509,1965,
10739651030386,1965,
10739651030626,1965,
10739651030790,1965,
10739651035112,1965,
10739656005789,1965,
10739656006654,1965,
10739656006662,1965,
10739656006910,1965,
10739656006936,1965,
10739656006944,1965,
10739656006951,1965,
10739656007389,1965,
10739656112023,1965,
10739656112775,1965,
10739656115521,1965,
10739656120521,1965,
10739656120539,1965,
10739990123596,1965,
10739990141036,1965,
10739991033422,1965,
10739991033430,1965,
10739996006688,1965,
10739996006696,1965,
10739996007371,1965,
10739996119978,1965,
10751270129163,1965,
10751271030261,1965,
10751271030493,1965,
10751271030725,1965,
10751276006969,1965,
10751276006977,1965,
10751276006985,1965,
10754080142166,1965,
10754081030253,1965,
10754081035575,1965,
10754086007082,1965,
10754086007090,1965,
10755981030535,1965,
10755981030543,1965,
10755986005813,1965,
10767780122473,1965,
10767781030774,1965,
10767781038298,1965,
10767781038306,1965,
10767786005748,1965,
10767786006605,1965,
10767786006613,1965,
11101160124909,1965,
11101160130724,1965,
11625960139550,1965,
11625966007454,1965,
11626386007504,1965,
11626531130046,1965,
11626531132109,1965,
11626536007546,1965,
11626536007553,1965,
11626611130038,1965,
11626611132851,1965,
11626616007603,1965,
11626616007611,1965,
11754811130012,1965,
11754811130145,1965,
11754811135656,1965,
11754816007470,1965,
11754816007488,1965,
11754816007496,1965,
12101240106153,1965,
12101240106161,1965,
12101240106179,1965,
12101240106203,1965,
12101240134163,1965,
12101240137364,1965,
12101246008221,1965,
12101246077192,1965,
12626790111708,1965,
12626790137653,1965,
12626796007660,1965,
12626796007678,1965,
12626796120562,1965,
12626870107110,1965,
12626870124263,1965,
12626871230044,1965,
12626871230051,1965,
12626871230705,1965,
12626871235209,1965,
12626956007686,1965,
12627036007694,1965,
12627296007710,1965,
12627376007728,1965,
12627456007736,1965,
12627456007744,1965,
12627946007850,1965,
12628100108688,1965,
12628101233352,1965,
12628101233402,1965,
12628286007884,1965,
12628286116289,1965,
12628366007892,1965,
12628516007918,1965,
12628936007959,1965,
12629196008015,1965,
12629276008023,1965,
12629356008031,1965,
12629686008080,1965,
12629760115154,1965,
12629766008098,1965,
12629846008106,1965,
12630246008155,1965,
12630320111203,1965,
12630320124289,1965,
12630326008163,1965,
12630326008171,1965,
12630400129114,1965,
12630400140376,1965,
12630401230010,1965,
12630401230069,1965,
12630401237007,1965,
12630406008197,1965,
12630406008213,1965,
12630406008239,1965,
12630576008247,1965,
12753741232909,1965,
12753746007843,1965,
12753821230085,1965,
12753826008049,1965,
12753826107874,1965,
12755151230150,1965,
12768020124164,1965,
12768026007868,1965,
12768026007876,1965,
12768026008130,1965,
12768026008148,1965,
13101320131094,1965,
13101320134379,1965,
13101321330117,1965,
13101326069272,1965,
13630736008262,1965,
13630736008270,1965,
13630736008288,1965,
13630736008296,1965,
13630736008304,1965,
13630811330141,1965,
13630811331354,1965,
13630811331404,1965,
13630990112318,1965,
13630990113985,1965,
13630991332154,1965,
13630991332204,1965,
13630996008346,1965,
13630996008361,1965,
13630996008379,1965,
13630996008387,1965,
13630996099485,1965,
13630996106975,1965,
13630996111587,1965,
13631071332501,1965,
13631076008395,1965,
13631076008403,1965,
13631076103535,1965,
13631150131243,1965,
13631150140954,1965,
13631151330133,1965,
13631151333004,1965,
13631151333558,1965,
13631230118455,1965,
13631230122663,1965,
13631236008411,1965,
13631236008429,1965,
13631236008437,1965,
13631236008445,1965,
13631236008452,1965,
13631236008460,1965,
13631236008478,1965,
13631236008486,1965,
13631236008494,1965,
13631236108823,1965,
13631236113658,1965,
13631310135657,1965,
13631316008502,1952,
13631490125922,1965,
13631491335306,1965,
13631491337138,1965,
13631496008510,1965,
13631496008528,1965,
13631496008536,1965,
13631640138917,1965,
13631641331115,1965,
13631641335900,1965,25863
13631646008551,1965,
13631646008569,1965,
13631646117808,1965,
13631726008585,1965,
13631806008593,1965,
13632066008627,1965,
13632140120881,1965,
13632141330018,1965,
13632141337609,1965,
13632146008635,1965,
13632146106298,1965,
13632226008643,1965,
13632306008650,1965,
14101400117994,1965,
14101401430073,1965,
14632481431352,1965,
14632486008692,1965,
14632711430065,1965,
14632711438308,1965,
14632716008742,1965,
14632716008759,1965,
14632891434901,1965,
14632896008775,1965,
14632971436203,1965,
14632976008791,1965,
14633056008809,1965,
14766870110031,1965,
14766870118299,1965,
14766870119081,1965,
14766870125047,1965,
14766871430057,1965,
14766871430107,1965,
14766871431600,1965,
14766876008700,1965,
14766876008726,1965,
15101570119669,1965,
15101570124040,1965,
15101570135467,1965,
15101571530302,1965,
15101571530310,1965,
15101571530492,1965,
15101571530500,1965,
15633130113027,1965,
15633136008817,1965,
15633136008833,1965,
15633136110464,1965,
15633210129171,1965,
15633210129189,1965,
15633210138149,1965,
15633210139808,1965,
15633216008841,1965,
15633216008858,1965,
15633216008866,1965,
15633216008874,1965,
15633216008882,1965,
15633216008890,1965,
15633216008916,1965,
15633216008924,1965,
15633216008932,1965,
15633216008940,1965,
15633216008957,1965,
15633216008965,1965,
15633216008973,1965,
15633216008981,1965,
15633216008999,1965,
15633216009005,1965,
15633216009013,1965,
15633216009021,1965,
15633216009047,1965,
15633216009062,1965,
15633216009070,1965,
15633216009088,1965,
15633216009096,1965,
15633216009104,1965,
15633216009120,1965,
15633216009138,1965,
15633216009146,1965,
15633216009153,1965,
15633216009161,1965,
15633216009179,1965,
15633216009187,1965,
15633216009195,1965,
15633216009203,1965,
15633216109052,1965,
15633216109060,1965,
15633216109078,1965,
15633216111264,1965,
15633216111900,1965,
15633216114284,1965,
15633216116719,1965,
15633390108589,1965,
15633396009211,1965,
15633396009229,1965,
15633396009237,1965,
15633546009252,1965,
15633620110775,1965,
15633620113951,1965,
15633620119099,1965,
15633620136713,1965,
15633620140731,1965,
15633626009260,1965,
15633626009922,1965,
15633626009930,1965,
15633626009948,1965,
15633626009955,1965,
15633626066674,1965,
15633626095012,1965,
15633626096986,1965,
15633626099428,1965,
15633626099436,1965,
15633626104632,1965,
15633626105423,1965,
15633626107619,1965,
15633626107627,1965,
15633626108187,1965,
15633626110001,1965,
15633626112262,1965,
15633626113401,1965,
15633626115257,1965,
15633626119994,1965,
15633706009278,1965,
15633886104772,1965,
15634040106575,1965,
15634040112185,1965,
15634040120139,1965,
15634040127712,1965,
15634046009344,1965,
15634046009351,1965,
15634046009369,1965,
15634046009377,1965,
15634046009393,1965,
15634046111355,1965,
15634046115471,1965,
15634046117915,1965,
15634120100529,1965,
15634120116384,1965,
15634121531656,1965,
15634121531672,1965,
15634206009419,1965,
15634386009435,1965,
15634386009443,1965,
15634466009450,1965,
15634610106690,1965,
15634610107987,1965,
15634610129130,1965,
15634616009500,1965,
15634796101588,1965,
15634796104004,1965,
15634796109987,1965,
15634796112783,1965,
